codigo_articulo,verificacion_vendedor
4140101001,false
4180101001,false
4140101004,false
4140101005,false
4140101006,false
4140101007,false
4140101008,false
4140101010,false
4140101009,false
4140101012,false
4140101014,false
4140101015,false
4140201004,false
4140201005,false
351,false
352,false
353,false
380,false
4140201006,false
4140201007,false
4140201008,false
4140201009,false
4140601001,false
4140601002,false
4140601003,false
4140602001,false
4140602002,false
4140602003,false
4140602004,false
4140601004,false
4140201010,false
4140201012,false
4140601005,false
4140201014,false
4140201015,false
120102006,false
4190101006,false
4140201016,false
4140201011,false
402,false
403,false
404,false
413,false
4180101003,false
4810501002,false
4810501012,false
392,false
394,false
120101001,true
4830404001,true
4830404002,true
4830404003,true
4830404004,true
4830404005,true
4830402059,true
4830402061,true
4180102003,true
4150103001,true
4830407002,true
4830402002,true
4830402008,true
4830402014,true
4830402063,true
4830402064,true
4830402003,true
4830402009,true
4830402015,true
4120101009,true
4120101010,true
4160103001,true
4160103002,true
4160103003,true
4160103004,true
4830408005,true
4830408006,true
4830408007,true
4830408008,true
4830408009,true
4830408010,true
4830409001,true
4830409002,true
4830409003,true
4830409004,true
