ruc,razon_social,grupo,estado,fecha_inicio,fecha_fin,modelo,dias_plazo,porcentaje_comision
0992879955001,ACCROACHCODE S A,GRUPO TERCEROS,Desactivo,2024-04-18,2024-12-13,POSTPAGO,,
1790986055001,ASOCIACION NACIONAL DE PRODUCTORES Y O EXPORTADORES DE FLORES DEL ECUADOR,GRUPO TERCEROS,Activo,2024-04-18,2026-05-31,POSTPAGO,,
1790986055001,ASOCIACION NACIONAL DE PRODUCTORES Y O EXPORTADORES DE FLORES DEL ECUADOR,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
0190153274001,CAMARA DE COMERCIO DE CUENCA,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
1190082446001,CAMARA DE COMERCIO DE LOJA CADECOL,GRUPO TERCEROS,Desactivo,2024-05-09,2025-12-26,POSTPAGO,,
1790899780001,CAMARA DE COMERCIO DE QUITO,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
0490000178001,CAMARA DE COMERCIO DE TULCAN,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
1790085996001,CAMARA DE COMERCIO DEL CANTON SANTO DOMINGO,GRUPO TERCEROS,Activo,2024-06-24,2026-05-31,POSTPAGO,,
1790085996001,CAMARA DE COMERCIO DEL CANTON SANTO DOMINGO,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
0390023340001,CAMARA DE COMERCIO E INDUSTRIAS DE AZOGUES,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
1792720990001,CAMARA DE COMERCIO ECUADOR SHANGHAI,GRUPO TERCEROS,Desactivo,2024-04-18,2025-12-26,POSTPAGO,,
0992862211001,CARGOLINE DEL ECUADOR S A C E S A,GRUPO TERCEROS,Activo,2024-04-18,2026-05-31,POSTPAGO,,
0992862211001,CARGOLINE DEL ECUADOR S A C E S A,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
1792717418001,CPA CONSULTING ECUADOR CPAEC S A,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
1792869889001,EMPRENDIMIENTOS TECNOLOGICOS EMPRENDOLABS S A,GRUPO TERCEROS,Activo,2024-06-24,2026-05-31,POSTPAGO,,
1792869889001,EMPRENDIMIENTOS TECNOLOGICOS EMPRENDOLABS S A,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
1792500656001,EXPERTOS EN COMERCIO ECUCOMER CIA LTDA,GRUPO TERCEROS,Activo,2024-07-04,2026-05-31,POSTPAGO,,
1792500656001,EXPERTOS EN COMERCIO ECUCOMER CIA LTDA,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
1790312143001,FEDERACION ECUATORIANA DE EXPORTADORES FEDEXPOR,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
1790007863001,PRODUCTIVE BUSINESS SOLUTIONS ECUADOR PBSEC S A,GRUPO TERCEROS,Activo,2024-04-18,2026-05-31,POSTPAGO,,
1790007863001,PRODUCTIVE BUSINESS SOLUTIONS ECUADOR PBSEC S A,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
0992936509001,RIZK TECHNOLOGY S A,GRUPO TERCEROS,Activo,2024-04-18,,POSTPAGO,,
0990090866001,ROCALVI S A,GRUPO TERCEROS,Activo,2024-04-18,2026-05-31,POSTPAGO,,
0990090866001,ROCALVI S A,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
1792496136001,SOLUCIONES INFORMATICAS PARA FIRMA ELECTRONICA GEEKTECH S A,GRUPO TERCEROS,Activo,2024-06-10,2026-05-31,POSTPAGO,,
1792496136001,SOLUCIONES INFORMATICAS PARA FIRMA ELECTRONICA GEEKTECH S A,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
1791435060001,T Y T EXPORT IMPORT CIA LTDA,GRUPO TERCEROS,Activo,2024-04-18,2026-05-31,POSTPAGO,,
1791435060001,T Y T EXPORT IMPORT CIA LTDA,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
1792459796001,TECAVAN S A TECNOLOGIAS AVANZADAS Y PROYECTOS,GRUPO TERCEROS,Activo,2024-04-18,2026-05-31,POSTPAGO,,
1792459796001,TECAVAN S A TECNOLOGIAS AVANZADAS Y PROYECTOS,GRUPO DISTRIBUIDORES,Activo,2026-06-01,,POSTPAGO,,
0991327371001,TELCONET S A,GRUPO TERCEROS,Activo,2024-05-09,,POSTPAGO,,
0890032060001,ZONA DE APOYO LOGISTICO DE ESMERALDAS ZALSA CEM,GRUPO TERCEROS,Desactivo,2024-04-18,2026-03-30,POSTPAGO,,
