anio,seccion,codasi_patron,tipo_match,motivo
2025,GASTOS,4065464-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4212372-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4373200-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4477934-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4494049-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4601329-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4711995-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4831595-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,4950107-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,5039227-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2025,GASTOS,5165846-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2025
2026,GASTOS,5039227-T,PREFIJO,Exclusion especifica de gastos del ano fiscal 2026
2024,DEPRE_AMOR,371153-D,EXACTO,Exclusion especifica de depreciaciones/amortizaciones del ano fiscal 2024
2024,DEPRE_AMOR,2501713-T,EXACTO,Exclusion especifica de depreciaciones/amortizaciones del ano fiscal 2024
2024,DEPRE_AMOR,3863666-T,EXACTO,Exclusion especifica de depreciaciones/amortizaciones del ano fiscal 2024
