codigo_documento,motivo
F002402958,VENTA ACTIVOS FIJOS
F002403886,VENTA ACTIVOS FIJOS
F002403925,VENTA ACTIVOS FIJOS
F002405368,VENTA ACTIVOS FIJOS
F002315116,VENTA ACTIVOS FIJOS
F002427620,VENTA ACTIVOS FIJOS
F001500426,VENTA ACTIVOS FIJOS
F001384992,VENTA ACTIVOS FIJOS
F001340999,VENTA ACTIVOS FIJOS
F001342495,VENTA ACTIVOS FIJOS
F001342941,VENTA ACTIVOS FIJOS
F001340944,VENTA ACTIVOS FIJOS
F001256259,VENTA ACTIVOS FIJOS
F001295051,VENTA ACTIVOS FIJOS
F001256878,VENTA ACTIVOS FIJOS
F001256259,VENTA ACTIVOS FIJOS
F000747212,VENTA ACTIVOS FIJOS
F000635998,VENTA ACTIVOS FIJOS
F000634482,VENTA ACTIVOS FIJOS
F000638202,VENTA ACTIVOS FIJOS
F000634492,VENTA ACTIVOS FIJOS
F000634503,VENTA ACTIVOS FIJOS
F000634511,VENTA ACTIVOS FIJOS
F000634432,VENTA ACTIVOS FIJOS
F000637279,VENTA ACTIVOS FIJOS
F000638707,VENTA ACTIVOS FIJOS
F000339173,VENTA ACTIVOS FIJOS
F000331987,VENTA ACTIVOS FIJOS
