creation_date,update_date,codigo,nombre,vigencia,familia,tipo_plan,concepto
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,HOLA,COMPROBANTES ADICIONALES, ,SISTEMA DE FACTURACION, ,COMPROBANTES ADICIONALES
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V2.PRE.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,PREMIUM,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V1.PRE.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,PREMIUM,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V1.PRE.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,PREMIUM,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V2.PRE.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,PREMIUM,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V2.MIN.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,MINI,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V2.MIN.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,MINI,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V1.MIN.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,MINI,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V1.MIN.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,MINI,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V2.EST.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,ESTANDAR,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V1.EST.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,ESTANDAR,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V1.EST.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,ESTANDAR,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V2.EST.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,ESTANDAR,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V2.ESE.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,ESENCIAL,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V1.ESE.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,ESENCIAL,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V1.ESE.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,ESENCIAL,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V2.ESE.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,ESENCIAL,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V1.BAS.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,BASICO,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V1.BAS.,SISTEMA DE FACTURACION VIGENCIA 1 ANO,1 ANO,SISTEMA DE FACTURACION,BASICO,SIN FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.C.V2.BAS.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,BASICO,CON FIRMA
2026-03-30 22:13:17.28559,2026-03-30 22:13:17.28559,SF.MAN.S.V2.BAS.,SISTEMA DE FACTURACION VIGENCIA 2 ANOS,2 ANOS,SISTEMA DE FACTURACION,BASICO,SIN FIRMA
