codigo_documento, motivo
F002023639, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002024597, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002033897, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002038496, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002042763, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002053191, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002053215, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002062306, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002063588, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002066870, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002070544, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002083401, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002087506, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002092262, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002337620, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002462936, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002567290, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002582556, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002643711, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
F002668153, FACTURA AGREGADA A COMERCIAL GESTION DE FIRMAS INDIVIDUAL
