numero_factura,motivo
001001F003330100,facturas correjidas subtotal_articulo_junio_2026
001001F003330147,facturas correjidas subtotal_articulo_junio_2026
001001F003330159,facturas correjidas subtotal_articulo_junio_2026
001001F003330209,facturas correjidas subtotal_articulo_junio_2026
001001F003330217,facturas correjidas subtotal_articulo_junio_2026
001001F003330228,facturas correjidas subtotal_articulo_junio_2026
001001F003330239,facturas correjidas subtotal_articulo_junio_2026
001001F003330301,facturas correjidas subtotal_articulo_junio_2026
001001F003330453,facturas correjidas subtotal_articulo_junio_2026
001001F003330719,facturas correjidas subtotal_articulo_junio_2026
001001F003330764,facturas correjidas subtotal_articulo_junio_2026
001001F003330851,facturas correjidas subtotal_articulo_junio_2026
001001F003330932,facturas correjidas subtotal_articulo_junio_2026
001001F003330941,facturas correjidas subtotal_articulo_junio_2026
001001F003330950,facturas correjidas subtotal_articulo_junio_2026
001001F003330951,facturas correjidas subtotal_articulo_junio_2026
001001F003331225,facturas correjidas subtotal_articulo_junio_2026
001001F003331262,facturas correjidas subtotal_articulo_junio_2026
001001F003331326,facturas correjidas subtotal_articulo_junio_2026
001001F003331327,facturas correjidas subtotal_articulo_junio_2026
001001F003331348,facturas correjidas subtotal_articulo_junio_2026
001001F003331446,facturas correjidas subtotal_articulo_junio_2026
001001F003331499,facturas correjidas subtotal_articulo_junio_2026
001001F003331612,facturas correjidas subtotal_articulo_junio_2026
001001F003331814,facturas correjidas subtotal_articulo_junio_2026
001001F003331821,facturas correjidas subtotal_articulo_junio_2026
001001F003332000,facturas correjidas subtotal_articulo_junio_2026
001001F003332010,facturas correjidas subtotal_articulo_junio_2026
001001F003332070,facturas correjidas subtotal_articulo_junio_2026
001001F003332071,facturas correjidas subtotal_articulo_junio_2026
001001F003332235,facturas correjidas subtotal_articulo_junio_2026
001001F003332239,facturas correjidas subtotal_articulo_junio_2026
001001F003332242,facturas correjidas subtotal_articulo_junio_2026
001001F003332310,facturas correjidas subtotal_articulo_junio_2026
001001F003332384,facturas correjidas subtotal_articulo_junio_2026
001001F003332580,facturas correjidas subtotal_articulo_junio_2026
001001F003333048,facturas correjidas subtotal_articulo_junio_2026
001001F003333058,facturas correjidas subtotal_articulo_junio_2026
001001F003333226,facturas correjidas subtotal_articulo_junio_2026
001001F003333568,facturas correjidas subtotal_articulo_junio_2026
001001F003333589,facturas correjidas subtotal_articulo_junio_2026
001001F003333647,facturas correjidas subtotal_articulo_junio_2026
001001F003333674,facturas correjidas subtotal_articulo_junio_2026
001001F003333682,facturas correjidas subtotal_articulo_junio_2026
001001F003333693,facturas correjidas subtotal_articulo_junio_2026
001001F003334081,facturas correjidas subtotal_articulo_junio_2026
001001F003334136,facturas correjidas subtotal_articulo_junio_2026
001001F003334163,facturas correjidas subtotal_articulo_junio_2026
001001F003334724,facturas correjidas subtotal_articulo_junio_2026
001001F003334766,facturas correjidas subtotal_articulo_junio_2026
001001F003334959,facturas correjidas subtotal_articulo_junio_2026
001001F003335399,facturas correjidas subtotal_articulo_junio_2026
001001F003341951,facturas correjidas subtotal_articulo_junio_2026
001001F003342046,facturas correjidas subtotal_articulo_junio_2026
001001F003342477,facturas correjidas subtotal_articulo_junio_2026
001001F003342719,facturas correjidas subtotal_articulo_junio_2026
001001F003343186,facturas correjidas subtotal_articulo_junio_2026
001001F003343199,facturas correjidas subtotal_articulo_junio_2026
001001F003343333,facturas correjidas subtotal_articulo_junio_2026
001001F003343346,facturas correjidas subtotal_articulo_junio_2026
001001F003343376,facturas correjidas subtotal_articulo_junio_2026
001001F003343605,facturas correjidas subtotal_articulo_junio_2026
001001F003343874,facturas correjidas subtotal_articulo_junio_2026
001001F003343999,facturas correjidas subtotal_articulo_junio_2026
001001F003344115,facturas correjidas subtotal_articulo_junio_2026
001001F003344301,facturas correjidas subtotal_articulo_junio_2026
001001F003344442,facturas correjidas subtotal_articulo_junio_2026
001001F003344798,facturas correjidas subtotal_articulo_junio_2026
001001F003344988,facturas correjidas subtotal_articulo_junio_2026
001001F003345121,facturas correjidas subtotal_articulo_junio_2026
001001F003345358,facturas correjidas subtotal_articulo_junio_2026
001001F003345484,facturas correjidas subtotal_articulo_junio_2026
001001F003345521,facturas correjidas subtotal_articulo_junio_2026
001001F003345604,facturas correjidas subtotal_articulo_junio_2026
001001F003345620,facturas correjidas subtotal_articulo_junio_2026
001001F003345781,facturas correjidas subtotal_articulo_junio_2026
001001F003345782,facturas correjidas subtotal_articulo_junio_2026
001001F003345807,facturas correjidas subtotal_articulo_junio_2026
001001F003345809,facturas correjidas subtotal_articulo_junio_2026
