codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
SF.ON.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.ON.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.ON.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.ON.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.ON.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.ON.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.ON.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.ON.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.ON.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.ON.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.ON.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.ON.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.ON.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.ON.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.ON.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Online,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.OF.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.OF.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.OF.P.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.OF.P.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.OF.P.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Personas Naturales,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.OF.R.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.OF.R.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.OF.R.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.OF.R.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.OF.R.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Representante Legal,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.OF.M.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.OF.M.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Basico,Vigencia 2 anos
SF.OF.M.S.N.V2.ESE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Esencial,Vigencia 2 anos
SF.OF.M.S.N.V2.EST.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Estandar,Vigencia 2 anos
SF.OF.M.S.N.V2.PRE.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Offline,Miembro de empresa,Sin firma,Nuevo,Premium,Vigencia 2 anos
SF.AG.P.S.N.V2.MIN.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Mini,Vigencia 2 anos
SF.AG.P.S.N.V2.BAS.,Sistema de facturacion Vigencia 2 anos,Sistema de facturacion,Agente movil,Personas Naturales,Sin firma,Nuevo,Basico,Vigencia 2 anos
